"time","Rectifier_r(0)"
0.105,0.105005
0.106,0.106007
0.107,0.107005
0.108,0.108013
0.109,0.10902
0.11,0.110051
0.111,0.111009
0.112,0.112002
0.113,0.113025
0.114,0.114004
0.115,0.115041
0.116,0.116015
0.117,0.117032
0.118,0.118104
0.119,0.119019
0.12,0.120041
0.121,0.12103
0.122,0.122007
0.123,0.123031
0.124,0.124047
0.125,0.125057
0.126,0.126015
0.127,0.12703
0.128,0.128102
0.129,0.129037
0.13,0.13004
0.131,0.131029
0.132,0.13201
0.133,0.133064
0.134,0.134029
0.135,0.135063
0.136,0.136023
0.137,0.137073
0.138,0.138054
0.139,0.139021
0.14,0.140023
0.141,0.14103
0.142,0.142009
0.143,0.143025
0.144,0.144005
0.145,0.14502
0.146,0.146019
0.147,0.147034
0.148,0.148006
0.149,0.149034
0.15,0.150012
0.151,0.151064
0.152,0.152022
0.153,0.153009
0.154,0.154038
0.155,0.155015
0.156,0.156048
0.157,0.157006
0.158,0.158022
0.159,0.15904
0.16,0.160024
0.161,0.161055
0.162,0.162015
0.163,0.163028
0.164,0.164028
0.165,0.165079
0.166,0.166
0.167,0.167061
0.168,0.168103
0.169,0.169008
0.17,0.170058
0.171,0.171015
0.172,0.172016
0.173,0.173038
0.174,0.174011
0.175,0.175026
0.176,0.176019
0.177,0.177089
0.178,0.178059
0.179,0.179012
0.18,0.180004
0.181,0.181052
0.182,0.182018
0.183,0.183042
0.184,0.184011
0.185,0.185058
0.186,0.186004
0.187,0.187016
0.188,0.188074
0.189,0.189015
0.19,0.190014
0.191,0.191023
0.192,0.192007
0.193,0.193029
0.194,0.194038
0.195,0.195025
0.196,0.196
0.197,0.197062
0.198,0.198105
0.199,0.199018
0.2,0.200014
0.201,0.201024
0.202,0.202021
0.203,0.203082
0.204,0.204067
0.205,0.205101
0.206,0.206021
0.207,0.207094
0.208,0.208065
0.209,0.209018
0.21,0.210009
0.211,0.21106
0.212,0.212032
0.213,0.213029
0.214,0.214035
0.215,0.215015
0.216,0.216005
0.217,0.21706
0.218,0.218002
0.219,0.219018
0.22,0.220024
0.221,0.221034
0.222,0.222018
0.223,0.223028
0.224,0.224032
0.225,0.225084
0.226,0.226028
0.227,0.227097
0.228,0.228031
0.229,0.229033
0.23,0.230081
0.231,0.231097
0.232,0.232
0.233,0.233085
0.234,0.234074
0.235,0.235002
0.236,0.236044
0.237,0.237047
0.238,0.238021
0.239,0.239
0.24,0.240058
0.241,0.241011
0.242,0.242036
0.243,0.243012
0.244,0.244045
0.245,0.245066
0.246,0.24602
0.247,0.247086
0.248,0.248046
0.249,0.249061
0.25,0.250001
0.251,0.251049
0.252,0.252019
0.253,0.253032
0.254,0.254049
0.255,0.25506
0.256,0.256024
0.257,0.257102
0.258,0.258064
0.259,0.25903
0.26,0.260071
0.261,0.261046
0.262,0.262014
0.263,0.26304
0.264,0.264037
0.265,0.265073
0.266,0.266019
0.267,0.267066
0.268,0.268055
0.269,0.269059
0.27,0.270002
0.271,0.27105
0.272,0.272038
0.273,0.273025
0.274,0.274061
0.275,0.275056
0.276,0.27601
0.277,0.277071
0.278,0.278028
0.279,0.279044
0.28,0.280032
0.281,0.28105
0.282,0.282009
0.283,0.28304
0.284,0.28401
0.285,0.285012
0.286,0.286008
0.287,0.28707
0.288,0.288019
0.289,0.289033
0.29,0.290054
0.291,0.291014
0.292,0.292005
0.293,0.293035
0.294,0.294024
0.295,0.295016
0.296,0.296015
0.297,0.297023
0.298,0.298067
0.299,0.299032
0.3,0.300017
0.301,0.301022
0.302,0.302019
0.303,0.30303
0.304,0.304047
0.305,0.305015
0.306,0.306019
0.307,0.307081
0.308,0.308038
0.309,0.309033
0.31,0.310089
0.311,0.311021
0.312,0.312011
0.313,0.313001
0.314,0.314069
0.315,0.315077
0.316,0.316021
0.317,0.317028
0.318,0.31808
0.319,0.319033
0.32,0.320022
0.321,0.321035
0.322,0.32201
0.323,0.323014
0.324,0.324073
0.325,0.325002
0.326,0.326019
0.327,0.327034
0.328,0.328006
0.329,0.329031
0.33,0.330058
0.331,0.331012
0.332,0.332022
0.333,0.333081
0.334,0.334066
0.335,0.3351
0.336,0.336014
0.337,0.337062
0.338,0.33803
0.339,0.339018
0.34,0.340008
0.341,0.341028
0.342,0.342013
0.343,0.343028
0.344,0.344029
0.345,0.345
0.346,0.346047
0.347,0.347038
0.348,0.348013
0.349,0.349012
0.35,0.350012
0.351,0.351083
0.352,0.352024
0.353,0.3531
0.354,0.354114
0.355,0.355029
0.356,0.356024
0.357,0.357078
0.358,0.358049
0.359,0.359016
0.36,0.360015
0.361,0.361055
0.362,0.362001
0.363,0.363003
0.364,0.36403
0.365,0.365057
0.366,0.366016
0.367,0.367037
0.368,0.368003
0.369,0.369045
0.37,0.370001
0.371,0.371057
0.372,0.372007
0.373,0.373006
0.374,0.374051
0.375,0.375089
0.376,0.376003
0.377,0.377046
0.378,0.378059
0.379,0.379006
0.38,0.380022
0.381,0.381033
0.382,0.38201
0.383,0.383018
0.384,0.384011
0.385,0.385026
0.386,0.386001
0.387,0.387044
0.388,0.388003
0.389,0.389021
0.39,0.39
0.391,0.391046
0.392,0.392029
0.393,0.393023
0.394,0.394003
0.395,0.395018
0.396,0.396017
0.397,0.397073
0.398,0.398037
0.399,0.399036
0.4,0.400023
0.401,0.401001
0.402,0.402015
0.403,0.403031
0.404,0.404047
0.405,0.405058
0.406,0.406013
0.407,0.407074
0.408,0.408025
0.409,0.409025
0.41,0.410055
0.411,0.411096
0.412,0.412019
0.413,0.413028
0.414,0.414004
0.415,0.415038
0.416,0.41602
0.417,0.417086
0.418,0.418046
0.419,0.419036
0.42,0.420034
0.421,0.421041
0.422,0.422031
0.423,0.423046
0.424,0.424017
0.425,0.425014
0.426,0.426001
0.427,0.427063
0.428,0.428107
0.429,0.42903
0.43,0.43005
0.431,0.431047
0.432,0.432003
0.433,0.433008
0.434,0.43404
0.435,0.435072
0.436,0.436018
0.437,0.437078
0.438,0.438033
0.439,0.439016
0.44,0.440022
0.441,0.441084
0.442,0.442006
0.443,0.443014
0.444,0.444071
0.445,0.445108
0.446,0.446003
0.447,0.44705
0.448,0.448069
0.449,0.449016
0.45,0.450041
0.451,0.451098
0.452,0.452019
0.453,0.453043
0.454,0.454004
0.455,0.45506
0.456,0.456011
0.457,0.457018
0.458,0.458092
0.459,0.459051
0.46,0.46
0.461,0.461047
0.462,0.462019
0.463,0.463015
0.464,0.464053
0.465,0.465058
0.466,0.466034
0.467,0.467075
0.468,0.468024
0.469,0.469033
0.47,0.470012
0.471,0.471034
0.472,0.472007
0.473,0.473068
0.474,0.474035
0.475,0.475055
0.476,0.476016
0.477,0.477037
0.478,0.478002
0.479,0.479033
0.48,0.480094
0.481,0.481028
0.482,0.482036
0.483,0.483028
0.484,0.484029
0.485,0.485001
0.486,0.486006
0.487,0.487062
0.488,0.488035
0.489,0.489018
0.49,0.490009
0.491,0.491013
0.492,0.492003
0.493,0.493042
0.494,0.494011
0.495,0.495058
0.496,0.49603
0.497,0.497068
0.498,0.498002
0.499,0.499033
0.5,0.500082
0.501,0.501013
0.502,0.502018
0.503,0.503014
0.504,0.504018
0.505,0.50507
0.506,0.506021
0.507,0.507089
0.508,0.508051
0.509,0.509019
0.51,0.510082
0.511,0.511098
0.512,0.512
0.513,0.513045
0.514,0.514016
0.515,0.515032
0.516,0.516021
0.517,0.517011
0.518,0.518076
0.519,0.519054
0.52,0.520058
0.521,0.521011
0.522,0.522005
0.523,0.523024
0.524,0.524004
0.525,0.525042
0.526,0.52602
0.527,0.527092
0.528,0.528062
0.529,0.52903
0.53,0.53004
0.531,0.531023
0.532,0.532021
0.533,0.533038
0.534,0.534003
0.535,0.53506
0.536,0.536021
0.537,0.537072
0.538,0.538072
0.539,0.539039
0.54,0.540009
0.541,0.541018
0.542,0.542
0.543,0.543024
0.544,0.544004
0.545,0.545042
0.546,0.546003
0.547,0.547056
0.548,0.548008
0.549,0.549028
0.55,0.55
0.551,0.551012
0.552,0.552006
0.553,0.553033
0.554,0.554042
0.555,0.555002
0.556,0.55604
0.557,0.557073
0.558,0.558002
0.559,0.55906
0.56,0.560078
0.561,0.561041
0.562,0.562006
0.563,0.563045
0.564,0.564033
0.565,0.565027
0.566,0.56603
0.567,0.567123
0.568,0.568091
0.569,0.569021
0.57,0.570058
0.571,0.571002
0.572,0.572
0.573,0.573053
0.574,0.574001
0.575,0.57503
0.576,0.576029
0.577,0.577068
0.578,0.578015
0.579,0.579041
0.58,0.580015
0.581,0.581025
0.582,0.582014
0.583,0.58302
0.584,0.584008
0.585,0.585014
0.586,0.586019
0.587,0.587033
0.588,0.588005
0.589,0.589018
0.59,0.590007
0.591,0.591027
0.592,0.592014
0.593,0.593099
0.594,0.59411
0.595,0.595046
0.596,0.596021
0.597,0.597011
0.598,0.598076
0.599,0.599029
0.6,0.600035
0.601,0.601028
0.602,0.60202
0.603,0.603037
0.604,0.604009
0.605,0.605023
0.606,0.606015
0.607,0.607032
0.608,0.608105
0.609,0.609018
0.61,0.610004
0.611,0.611052
0.612,0.612018
0.613,0.61311
0.614,0.61401
0.615,0.615042
0.616,0.616004
0.617,0.617001
0.618,0.618032
0.619,0.619033
0.62,0.620017
0.621,0.621034
0.622,0.622004
0.623,0.62302
0.624,0.624086
0.625,0.625008
0.626,0.626022
0.627,0.627067
0.628,0.628043
0.629,0.629042
0.63,0.630022
0.631,0.631032
0.632,0.632009
0.633,0.633027
0.634,0.634032
0.635,0.635085
0.636,0.636025
0.637,0.637083
0.638,0.638057
0.639,0.639013
0.64,0.640015
0.641,0.641057
0.642,0.642022
0.643,0.643048
0.644,0.644105
0.645,0.645022
0.646,0.646022
0.647,0.647068
0.648,0.648045
0.649,0.649038
0.65,0.650016
0.651,0.651018
0.652,0.65202
0.653,0.653031
0.654,0.654047
0.655,0.655058
0.656,0.656005
0.657,0.657059
0.658,0.658029
0.659,0.659057
0.66,0.660064
0.661,0.661006
0.662,0.662026
0.663,0.663088
0.664,0.664082
0.665,0.665015
0.666,0.666022
0.667,0.66709
0.668,0.668052
0.669,0.669005
0.67,0.670022
0.671,0.671083
0.672,0.672018
0.673,0.673031
0.674,0.674048
0.675,0.675056
0.676,0.67601
0.677,0.677003
0.678,0.678022
0.679,0.679033
0.68,0.680021
0.681,0.681074
0.682,0.682017
0.683,0.683039
0.684,0.684006
0.685,0.685052
0.686,0.686009
0.687,0.687003
0.688,0.688027
0.689,0.689015
0.69,0.690061
0.691,0.69109
0.692,0.692029
0.693,0.693081
0.694,0.694066
0.695,0.695101
0.696,0.696016
0.697,0.697039
0.698,0.698006
0.699,0.699028
0.7,0.700022
0.701,0.701065
0.702,0.702009
0.703,0.703084
0.704,0.704073
0.705,0.705001
0.706,0.706019
0.707,0.707034
0.708,0.708007
0.709,0.709021
0.71,0.710024
0.711,0.71103
0.712,0.712017
0.713,0.71305
0.714,0.714026
0.715,0.715044
0.716,0.716004
0.717,0.717057
0.718,0.71803
0.719,0.719019
0.72,0.720015
0.721,0.721056
0.722,0.722012
0.723,0.723028
0.724,0.724029
0.725,0.725001
0.726,0.726044
0.727,0.727046
0.728,0.728012
0.729,0.729063
0.73,0.730022
0.731,0.731089
0.732,0.732005
0.733,0.733083
0.734,0.734071
0.735,0.73511
0.736,0.736017
0.737,0.737044
0.738,0.738072
0.739,0.73902
0.74,0.740065
0.741,0.741001
0.742,0.742013
0.743,0.743082
0.744,0.744067
0.745,0.745102
0.746,0.746006
0.747,0.747062
0.748,0.748033
0.749,0.749017
0.75,0.750024
0.751,0.751025
0.752,0.752035
0.753,0.753083
0.754,0.75407
0.755,0.755106
0.756,0.756016
0.757,0.757022
0.758,0.758001
0.759,0.759029
0.76,0.760042
0.761,0.7611
0.762,0.762003
0.763,0.763046
0.764,0.764018
0.765,0.765034
0.766,0.766038
0.767,0.76708
0.768,0.768029
0.769,0.769021
0.77,0.770023
0.771,0.771031
0.772,0.772012
0.773,0.773031
0.774,0.774047
0.775,0.77503
0.776,0.776006
0.777,0.777063
0.778,0.778035
0.779,0.77901
0.78,0.780044
0.781,0.781054
0.782,0.78201
0.783,0.78303
0.784,0.784046
0.785,0.785014
0.786,0.786015
0.787,0.787031
0.788,0.788103
0.789,0.789029
0.79,0.790076
0.791,0.791058
0.792,0.792005
0.793,0.79303
0.794,0.794046
0.795,0.795014
0.796,0.796001
0.797,0.797053
0.798,0.798004
0.799,0.799031
0.8,0.800016
0.801,0.801025
0.802,0.802
0.803,0.803084
0.804,0.804072
0.805,0.80511
0.806,0.806019
0.807,0.807034
0.808,0.808007
0.809,0.809033
0.81,0.810037
0.811,0.811023
0.812,0.812015
0.813,0.813047
0.814,0.81402
0.815,0.815036
0.816,0.816019
0.817,0.817083
0.818,0.818041
0.819,0.819039
0.82,0.820023
0.821,0.821031
0.822,0.822012
0.823,0.82303
0.824,0.824112
0.825,0.825025
0.826,0.826009
0.827,0.827068
0.828,0.828018
0.829,0.829013
0.83,0.830017
0.831,0.831034
0.832,0.832004
0.833,0.833106
0.834,0.834127
0.835,0.835049
0.836,0.836021
0.837,0.837089
0.838,0.838059
0.839,0.839033
0.84,0.840026
0.841,0.841027
0.842,0.842025
0.843,0.843022
0.844,0.844003
0.845,0.845041
0.846,0.84602
0.847,0.847086
0.848,0.848046
0.849,0.849033
0.85,0.850093
0.851,0.851027
0.852,0.852005
0.853,0.853028
0.854,0.854032
0.855,0.855021
0.856,0.856015
0.857,0.857032
0.858,0.858105
0.859,0.859001
0.86,0.860038
0.861,0.861008
0.862,0.862011
0.863,0.863029
0.864,0.864001
0.865,0.865048
0.866,0.866024
0.867,0.867028
0.868,0.868031
0.869,0.86904
0.87,0.870054
0.871,0.871075
0.872,0.872013
0.873,0.873028
0.874,0.874029
0.875,0.875
0.876,0.876009
0.877,0.877003
0.878,0.878026
0.879,0.879017
0.88,0.880058
0.881,0.881086
0.882,0.882007
0.883,0.88301
0.884,0.88408
0.885,0.885042
0.886,0.886014
0.887,0.88703
0.888,0.8881
0.889,0.889054
0.89,0.890014
0.891,0.891021
0.892,0.892011
0.893,0.893099
0.894,0.894112
0.895,0.895026
0.896,0.896009
0.897,0.897003
0.898,0.898026
0.899,0.899023
0.9,0.900043
0.901,0.901019
0.902,0.902003
0.903,0.903012
0.904,0.904047
0.905,0.905048
0.906,0.90602
0.907,0.907084
0.908,0.908042
0.909,0.909035
0.91,0.910023
0.911,0.911034
0.912,0.912013
0.913,0.913006
0.914,0.914006
0.915,0.91501
0.916,0.916014
0.917,0.91703
0.918,0.9181
0.919,0.919033
0.92,0.92003
0.921,0.921003
0.922,0.922011
0.923,0.923033
0.924,0.924041
0.925,0.925002
0.926,0.926008
0.927,0.927076
0.928,0.928048
0.929,0.929035
0.93,0.93002
0.931,0.931001
0.932,0.932015
0.933,0.933028
0.934,0.934028
0.935,0.935079
0.936,0.936023
0.937,0.9371
0.938,0.938062
0.939,0.939024
0.94,0.940021
0.941,0.941074
0.942,0.942017
0.943,0.943059
0.944,0.944016
0.945,0.945042
0.946,0.94602
0.947,0.947086
0.948,0.948046
0.949,0.949001
0.95,0.950038
0.951,0.951027
0.952,0.952036
0.953,0.953032
0.954,0.954049
0.955,0.955059
0.956,0.95602
0.957,0.957083
0.958,0.958041
0.959,0.959035
0.96,0.960065
0.961,0.961035
0.962,0.962007
0.963,0.963043
0.964,0.964014
0.965,0.965062
0.966,0.966016
0.967,0.967038
0.968,0.968003
0.969,0.969008
0.97,0.970031
0.971,0.97105
0.972,0.972016
0.973,0.973043
0.974,0.974013
0.975,0.975062
0.976,0.976009
0.977,0.977071
0.978,0.978021
0.979,0.979045
0.98,0.980015
0.981,0.981055
0.982,0.982022
0.983,0.983033
0.984,0.984041
0.985,0.985001
0.986,0.986023
0.987,0.987101
0.988,0.988062
0.989,0.989018
0.99,0.990057
0.991,0.991016
0.992,0.992008
0.993,0.993033
0.994,0.994027
0.995,0.995
0.996,0.996015
0.997,0.997031
0.998,0.998102
0.999,0.999033
1,1
