"time","outBool3"
0.529,1
0.53,1
0.531,1
0.532,1
0.533,1
0.534,1
0.535,1
0.536,1
0.537,1
0.538,1
0.539,1
0.54,1
0.541,1
0.542,1
0.543,1
0.544,1
0.545,1
0.546,1
0.547,1
0.548,1
0.549,1
0.55,1
0.551,0
0.552,0
0.553,0
0.554,0
0.555,0
0.556,0
0.557,0
0.558,0
0.559,0
0.56,0
0.561,0
0.562,0
0.563,0
0.564,0
0.565,0
0.566,0
0.567,0
0.568,0
0.569,0
0.57,0
0.571,0
0.572,0
0.573,0
0.574,0
0.575,0
0.576,0
0.577,0
0.578,0
0.579,0
0.58,0
0.581,0
0.582,0
0.583,0
0.584,0
0.585,0
0.586,0
0.587,0
0.588,0
0.589,0
0.59,0
0.591,0
0.592,0
0.593,0
0.594,0
0.595,0
0.596,0
0.597,0
0.598,0
0.599,0
0.6,0
0.601,1
0.602,1
0.603,1
0.604,1
0.605,1
0.606,1
0.607,1
0.608,1
0.609,1
0.61,1
0.611,1
0.612,1
0.613,1
0.614,1
0.615,1
0.616,1
0.617,1
0.618,1
0.619,1
0.62,1
0.621,1
0.622,1
0.623,1
0.624,1
0.625,1
0.626,1
0.627,1
0.628,1
0.629,1
0.63,1
0.631,1
0.632,1
0.633,1
0.634,1
0.635,1
0.636,1
0.637,1
0.638,1
0.639,1
0.64,1
0.641,1
0.642,1
0.643,1
0.644,1
0.645,1
0.646,1
0.647,1
0.648,1
0.649,1
0.65,1
0.651,0
0.652,0
0.653,0
0.654,0
0.655,0
0.656,0
0.657,0
0.658,0
0.659,0
0.66,0
0.661,0
0.662,0
0.663,0
0.664,0
0.665,0
0.666,0
0.667,0
0.668,0
0.669,0
0.67,0
0.671,0
0.672,0
0.673,0
0.674,0
0.675,0
0.676,0
0.677,0
0.678,0
0.679,0
0.68,0
0.681,0
0.682,0
0.683,0
0.684,0
0.685,0
0.686,0
0.687,0
0.688,0
0.689,0
0.69,0
0.691,0
0.692,0
0.693,0
0.694,0
0.695,0
0.696,0
0.697,0
0.698,0
0.699,0
0.7,0
0.701,1
0.702,1
0.703,1
0.704,1
0.705,1
0.706,1
0.707,1
0.708,1
0.709,1
0.71,1
0.711,1
0.712,1
0.713,1
0.714,1
0.715,1
0.716,1
0.717,1
0.718,1
0.719,1
0.72,1
0.721,1
0.722,1
0.723,1
0.724,1
0.725,1
0.726,1
0.727,1
0.728,1
0.729,1
0.73,1
0.731,1
0.732,1
0.733,1
0.734,1
0.735,1
0.736,1
0.737,1
0.738,1
0.739,1
0.74,1
0.741,1
0.742,1
0.743,1
0.744,1
0.745,1
0.746,1
0.747,1
0.748,1
0.749,1
0.75,1
0.751,0
0.752,0
0.753,0
0.754,0
0.755,0
0.756,0
0.757,0
0.758,0
0.759,0
0.76,0
0.761,0
0.762,0
0.763,0
0.764,0
0.765,0
0.766,0
0.767,0
0.768,0
0.769,0
0.77,0
0.771,0
0.772,0
0.773,0
0.774,0
0.775,0
0.776,0
0.777,0
0.778,0
0.779,0
0.78,0
0.781,0
0.782,0
0.783,0
0.784,0
0.785,0
0.786,0
0.787,0
0.788,0
0.789,0
0.79,0
0.791,0
0.792,0
0.793,0
0.794,0
0.795,0
0.796,0
0.797,0
0.798,0
0.799,0
0.8,0
0.801,1
0.802,1
0.803,1
0.804,1
0.805,1
0.806,1
0.807,1
0.808,1
0.809,1
0.81,1
0.811,1
0.812,1
0.813,1
0.814,1
0.815,1
0.816,1
0.817,1
0.818,1
0.819,1
0.82,1
0.821,1
0.822,1
0.823,1
0.824,1
0.825,1
0.826,1
0.827,1
0.828,1
0.829,1
0.83,1
0.831,1
0.832,1
0.833,1
0.834,1
0.835,1
0.836,1
0.837,1
0.838,1
0.839,1
0.84,1
0.841,1
0.842,1
0.843,1
0.844,1
0.845,1
0.846,1
0.847,1
0.848,1
0.849,1
0.85,1
0.851,0
0.852,0
0.853,0
0.854,0
0.855,0
0.856,0
0.857,0
0.858,0
0.859,0
0.86,0
0.861,0
0.862,0
0.863,0
0.864,0
0.865,0
0.866,0
0.867,0
0.868,0
0.869,0
0.87,0
0.871,0
0.872,0
0.873,0
0.874,0
0.875,0
0.876,0
0.877,0
0.878,0
0.879,0
0.88,0
0.881,0
0.882,0
0.883,0
0.884,0
0.885,0
0.886,0
0.887,0
0.888,0
0.889,0
0.89,0
0.891,0
0.892,0
0.893,0
0.894,0
0.895,0
0.896,0
0.897,0
0.898,0
0.899,0
0.9,0
0.901,1
0.902,1
0.903,1
0.904,1
0.905,1
0.906,1
0.907,1
0.908,1
0.909,1
0.91,1
0.911,1
0.912,1
0.913,1
0.914,1
0.915,1
0.916,1
0.917,1
0.918,1
0.919,1
0.92,1
0.921,1
0.922,1
0.923,1
0.924,1
0.925,1
0.926,1
0.927,1
0.928,1
0.929,1
0.93,1
0.931,1
0.932,1
0.933,1
0.934,1
0.935,1
0.936,1
0.937,1
0.938,1
0.939,1
0.94,1
0.941,1
0.942,1
0.943,1
0.944,1
0.945,1
0.946,1
0.947,1
0.948,1
0.949,1
0.95,1
0.951,0
0.952,0
0.953,0
0.954,0
0.955,0
0.956,0
0.957,0
0.958,0
0.959,0
0.96,0
0.961,0
0.962,0
0.963,0
0.964,0
0.965,0
0.966,0
0.967,0
0.968,0
0.969,0
0.97,0
0.971,0
0.972,0
0.973,0
0.974,0
0.975,0
0.976,0
0.977,0
0.978,0
0.979,0
0.98,0
0.981,0
0.982,0
0.983,0
0.984,0
0.985,0
0.986,0
0.987,0
0.988,0
0.989,0
0.99,0
0.991,0
0.992,0
0.993,0
0.994,0
0.995,0
0.996,0
0.997,0
0.998,0
0.999,0
1,0
