"time","CoupledClutches_r(0)"
0.608,0.608019
0.609,0.609019
0.61,0.610019
0.611,0.611019
0.612,0.612019
0.613,0.613019
0.614,0.614019
0.615,0.615019
0.616,0.616019
0.617,0.617019
0.618,0.618019
0.619,0.619019
0.62,0.620019
0.621,0.621019
0.622,0.622019
0.623,0.623019
0.624,0.624019
0.625,0.625019
0.626,0.626019
0.627,0.627019
0.628,0.628019
0.629,0.629019
0.63,0.630019
0.631,0.631019
0.632,0.632019
0.633,0.633019
0.634,0.634019
0.635,0.635019
0.636,0.636019
0.637,0.637019
0.638,0.638019
0.639,0.639019
0.64,0.640019
0.641,0.641019
0.642,0.642019
0.643,0.643019
0.644,0.644019
0.645,0.645019
0.646,0.646019
0.647,0.647019
0.648,0.648019
0.649,0.649019
0.65,0.650019
0.651,0.651019
0.652,0.652019
0.653,0.653019
0.654,0.654019
0.655,0.655019
0.656,0.656019
0.657,0.657019
0.658,0.658019
0.659,0.659019
0.66,0.660019
0.661,0.661019
0.662,0.662019
0.663,0.663019
0.664,0.664019
0.665,0.665019
0.666,0.666019
0.667,0.667019
0.668,0.668019
0.669,0.669019
0.67,0.670019
0.671,0.671019
0.672,0.672019
0.673,0.673019
0.674,0.674019
0.675,0.675019
0.676,0.676019
0.677,0.677019
0.678,0.678019
0.679,0.679019
0.68,0.680019
0.681,0.681019
0.682,0.682019
0.683,0.683019
0.684,0.684019
0.685,0.685019
0.686,0.686019
0.687,0.687019
0.688,0.688019
0.689,0.689019
0.69,0.690019
0.691,0.691019
0.692,0.692019
0.693,0.693019
0.694,0.694019
0.695,0.695019
0.696,0.696019
0.697,0.697019
0.698,0.698019
0.699,0.699019
0.7,0.700019
0.701,0.701019
0.702,0.702019
0.703,0.703019
0.704,0.704019
0.705,0.705019
0.706,0.706019
0.707,0.707019
0.708,0.708019
0.709,0.709019
0.71,0.710057
0.711,0.711096
0.712,0.712096
0.713,0.713096
0.714,0.714096
0.715,0.715096
0.716,0.716096
0.717,0.717096
0.718,0.718096
0.719,0.719096
0.72,0.720096
0.721,0.721096
0.722,0.722096
0.723,0.723096
0.724,0.724096
0.725,0.725096
0.726,0.726096
0.727,0.727096
0.728,0.728096
0.729,0.729096
0.73,0.730096
0.731,0.731096
0.732,0.732096
0.733,0.733096
0.734,0.734096
0.735,0.735096
0.736,0.736096
0.737,0.737096
0.738,0.738096
0.739,0.739096
0.74,0.740096
0.741,0.741096
0.742,0.742096
0.743,0.743096
0.744,0.744096
0.745,0.745096
0.746,0.746096
0.747,0.747096
0.748,0.748096
0.749,0.749096
0.75,0.750096
0.751,0.751096
0.752,0.752096
0.753,0.753096
0.754,0.754096
0.755,0.755096
0.756,0.756096
0.757,0.757096
0.758,0.758096
0.759,0.759096
0.76,0.760096
0.761,0.761096
0.762,0.762096
0.763,0.763096
0.764,0.764096
0.765,0.765096
0.766,0.766096
0.767,0.767096
0.768,0.768096
0.769,0.769096
0.77,0.770096
0.771,0.771096
0.772,0.772096
0.773,0.773096
0.774,0.774096
0.775,0.775096
0.776,0.776096
0.777,0.777096
0.778,0.778096
0.779,0.779096
0.78,0.780096
0.781,0.781096
0.782,0.782096
0.783,0.783096
0.784,0.784096
0.785,0.785096
0.786,0.786096
0.787,0.787096
0.788,0.788096
0.789,0.789096
0.79,0.790096
0.791,0.791058
0.792,0.792011
0.793,0.793464
0.794,0.794464
0.795,0.795464
0.796,0.796464
0.797,0.797464
0.798,0.798464
0.799,0.799464
0.8,0.800464
0.801,0.801464
0.802,0.802464
0.803,0.803464
0.804,0.804464
0.805,0.805464
0.806,0.806464
0.807,0.807464
0.808,0.808464
0.809,0.809464
0.81,0.810464
0.811,0.811464
0.812,0.812464
0.813,0.813464
0.814,0.814464
0.815,0.815464
0.816,0.816464
0.817,0.817464
0.818,0.818464
0.819,0.819464
0.82,0.820464
0.821,0.821464
0.822,0.822464
0.823,0.823464
0.824,0.824464
0.825,0.825464
0.826,0.826464
0.827,0.827464
0.828,0.828464
0.829,0.829464
0.83,0.830464
0.831,0.831464
0.832,0.832196
0.833,0.833354
0.834,0.834354
0.835,0.835354
0.836,0.836354
0.837,0.837354
0.838,0.838354
0.839,0.839354
0.84,0.840354
0.841,0.841354
0.842,0.842354
0.843,0.843354
0.844,0.844354
0.845,0.845354
0.846,0.846354
0.847,0.847354
0.848,0.848354
0.849,0.849354
0.85,0.850354
0.851,0.851354
0.852,0.852354
0.853,0.853354
0.854,0.854354
0.855,0.855354
0.856,0.856354
0.857,0.857354
0.858,0.858354
0.859,0.859354
0.86,0.860354
0.861,0.861354
0.862,0.862354
0.863,0.863354
0.864,0.864354
0.865,0.865354
0.866,0.866354
0.867,0.867354
0.868,0.868354
0.869,0.869354
0.87,0.870354
0.871,0.871354
0.872,0.872354
0.873,0.873354
0.874,0.874354
0.875,0.875354
0.876,0.876354
0.877,0.877354
0.878,0.878354
0.879,0.879354
0.88,0.880354
0.881,0.881354
0.882,0.882354
0.883,0.883354
0.884,0.884354
0.885,0.885354
0.886,0.886354
0.887,0.887354
0.888,0.888354
0.889,0.889354
0.89,0.890354
0.891,0.891354
0.892,0.892354
0.893,0.893354
0.894,0.894354
0.895,0.895354
0.896,0.896354
0.897,0.897354
0.898,0.898354
0.899,0.899354
0.9,0.900018
0.901,0.90107
0.902,0.90207
0.903,0.90307
0.904,0.90407
0.905,0.90507
0.906,0.90607
0.907,0.90707
0.908,0.90807
0.909,0.909203
0.91,0.910203
0.911,0.911203
0.912,0.912203
0.913,0.913203
0.914,0.914203
0.915,0.915203
0.916,0.916203
0.917,0.917203
0.918,0.918203
0.919,0.919203
0.92,0.920203
0.921,0.921203
0.922,0.922203
0.923,0.923203
0.924,0.924203
0.925,0.925203
0.926,0.926203
0.927,0.927203
0.928,0.928203
0.929,0.929203
0.93,0.930203
0.931,0.931203
0.932,0.932203
0.933,0.933203
0.934,0.934203
0.935,0.935203
0.936,0.936203
0.937,0.937203
0.938,0.938203
0.939,0.939203
0.94,0.940203
0.941,0.941203
0.942,0.942203
0.943,0.943203
0.944,0.944203
0.945,0.945203
0.946,0.946203
0.947,0.947203
0.948,0.948203
0.949,0.949203
0.95,0.950203
0.951,0.951203
0.952,0.952203
0.953,0.953203
0.954,0.954203
0.955,0.955203
0.956,0.956203
0.957,0.957203
0.958,0.958203
0.959,0.959203
0.96,0.960203
0.961,0.961203
0.962,0.962203
0.963,0.963203
0.964,0.964203
0.965,0.965203
0.966,0.966203
0.967,0.967203
0.968,0.968203
0.969,0.969203
0.97,0.970203
0.971,0.971203
0.972,0.972203
0.973,0.973203
0.974,0.974203
0.975,0.975203
0.976,0.976203
0.977,0.977203
0.978,0.978203
0.979,0.979203
0.98,0.980203
0.981,0.981203
0.982,0.982203
0.983,0.983203
0.984,0.984203
0.985,0.985203
0.986,0.986203
0.987,0.987203
0.988,0.988203
0.989,0.989203
0.99,0.990203
0.991,0.991203
0.992,0.992203
0.993,0.993203
0.994,0.994203
0.995,0.995203
0.996,0.996203
0.997,0.997203
0.998,0.998203
0.999,0.999203
1,1
