"time","x","der_x_","k"
0.055,0.946483,-0.946483,1
0.056,0.946483,-0.946483,1
0.056,0.945536,-0.945536,1
0.057,0.945536,-0.945536,1
0.057,0.944591,-0.944591,1
0.058,0.944591,-0.944591,1
0.058,0.943647,-0.943647,1
0.059,0.943647,-0.943647,1
0.059,0.942704,-0.942704,1
0.06,0.942704,-0.942704,1
0.06,0.941762,-0.941762,1
0.061,0.941762,-0.941762,1
0.061,0.94082,-0.94082,1
0.062,0.94082,-0.94082,1
0.062,0.93988,-0.93988,1
0.063,0.93988,-0.93988,1
0.063,0.938941,-0.938941,1
0.064,0.938941,-0.938941,1
0.064,0.938002,-0.938002,1
0.065,0.938002,-0.938002,1
0.065,0.937064,-0.937064,1
0.066,0.937064,-0.937064,1
0.066,0.936128,-0.936128,1
0.067,0.936128,-0.936128,1
0.067,0.935192,-0.935192,1
0.068,0.935192,-0.935192,1
0.068,0.934257,-0.934257,1
0.069,0.934257,-0.934257,1
0.069,0.933323,-0.933323,1
0.07,0.933323,-0.933323,1
0.07,0.932391,-0.932391,1
0.071,0.932391,-0.932391,1
0.071,0.931459,-0.931459,1
0.072,0.931459,-0.931459,1
0.072,0.930528,-0.930528,1
0.073,0.930528,-0.930528,1
0.073,0.929597,-0.929597,1
0.074,0.929597,-0.929597,1
0.074,0.928668,-0.928668,1
0.075,0.928668,-0.928668,1
0.075,0.92774,-0.92774,1
0.076,0.92774,-0.92774,1
0.076,0.926813,-0.926813,1
0.077,0.926813,-0.926813,1
0.077,0.925886,-0.925886,1
0.078,0.925886,-0.925886,1
0.078,0.924961,-0.924961,1
0.079,0.924961,-0.924961,1
0.079,0.924036,-0.924036,1
0.08,0.924036,-0.924036,1
0.08,0.923113,-0.923113,1
0.081,0.923113,-0.923113,1
0.081,0.92219,-0.92219,1
0.082,0.92219,-0.92219,1
0.082,0.921268,-0.921268,1
0.083,0.921268,-0.921268,1
0.083,0.920347,-0.920347,1
0.084,0.920347,-0.920347,1
0.084,0.919427,-0.919427,1
0.085,0.919427,-0.919427,1
0.085,0.918508,-0.918508,1
0.086,0.918508,-0.918508,1
0.086,0.91759,-0.91759,1
0.087,0.91759,-0.91759,1
0.087,0.916673,-0.916673,1
0.088,0.916673,-0.916673,1
0.088,0.915757,-0.915757,1
0.089,0.915757,-0.915757,1
0.089,0.914841,-0.914841,1
0.09,0.914841,-0.914841,1
0.09,0.913927,-0.913927,1
0.091,0.913927,-0.913927,1
0.091,0.913014,-0.913014,1
0.092,0.913014,-0.913014,1
0.092,0.912101,-0.912101,1
0.093,0.912101,-0.912101,1
0.093,0.911189,-0.911189,1
0.094,0.911189,-0.911189,1
0.094,0.910278,-0.910278,1
0.095,0.910278,-0.910278,1
0.095,0.909369,-0.909369,1
0.096,0.909369,-0.909369,1
0.096,0.90846,-0.90846,1
0.097,0.90846,-0.90846,1
0.097,0.907552,-0.907552,1
0.098,0.907552,-0.907552,1
0.098,0.906644,-0.906644,1
0.099,0.906644,-0.906644,1
0.099,0.905738,-0.905738,1
0.1,0.905738,-0.905738,1
0.1,0.904833,-0.904833,1
0.101,0.904833,-0.904833,1
0.101,0.903928,-0.903928,1
0.102,0.903928,-0.903928,1
0.102,0.903025,-0.903025,1
0.103,0.903025,-0.903025,1
0.103,0.902122,-0.902122,1
0.104,0.902122,-0.902122,1
0.104,0.901221,-0.901221,1
0.105,0.901221,-0.901221,1
0.105,0.90032,-0.90032,1
0.106,0.90032,-0.90032,1
0.106,0.89942,-0.89942,1
0.107,0.89942,-0.89942,1
0.107,0.898521,-0.898521,1
0.108,0.898521,-0.898521,1
0.108,0.897623,-0.897623,1
0.109,0.897623,-0.897623,1
0.109,0.896726,-0.896726,1
0.11,0.896726,-0.896726,1
0.11,0.895829,-0.895829,1
0.111,0.895829,-0.895829,1
0.111,0.894934,-0.894934,1
0.112,0.894934,-0.894934,1
0.112,0.894039,-0.894039,1
0.113,0.894039,-0.894039,1
0.113,0.893146,-0.893146,1
0.114,0.893146,-0.893146,1
0.114,0.892253,-0.892253,1
0.115,0.892253,-0.892253,1
0.115,0.891361,-0.891361,1
0.116,0.891361,-0.891361,1
0.116,0.89047,-0.89047,1
0.117,0.89047,-0.89047,1
0.117,0.88958,-0.88958,1
0.118,0.88958,-0.88958,1
0.118,0.888691,-0.888691,1
0.119,0.888691,-0.888691,1
0.119,0.887803,-0.887803,1
0.12,0.887803,-0.887803,1
0.12,0.886915,-0.886915,1
0.121,0.886915,-0.886915,1
0.121,0.886029,-0.886029,1
0.122,0.886029,-0.886029,1
0.122,0.885143,-0.885143,1
0.123,0.885143,-0.885143,1
0.123,0.884258,-0.884258,1
0.124,0.884258,-0.884258,1
0.124,0.883374,-0.883374,1
0.125,0.883374,-0.883374,1
0.125,0.882491,-0.882491,1
0.126,0.882491,-0.882491,1
0.126,0.881609,-0.881609,1
0.127,0.881609,-0.881609,1
0.127,0.880728,-0.880728,1
0.128,0.880728,-0.880728,1
0.128,0.879848,-0.879848,1
0.129,0.879848,-0.879848,1
0.129,0.878968,-0.878968,1
0.13,0.878968,-0.878968,1
0.13,0.87809,-0.87809,1
0.131,0.87809,-0.87809,1
0.131,0.877212,-0.877212,1
0.132,0.877212,-0.877212,1
0.132,0.876335,-0.876335,1
0.133,0.876335,-0.876335,1
0.133,0.875459,-0.875459,1
0.134,0.875459,-0.875459,1
0.134,0.874584,-0.874584,1
0.135,0.874584,-0.874584,1
0.135,0.87371,-0.87371,1
0.136,0.87371,-0.87371,1
0.136,0.872837,-0.872837,1
0.137,0.872837,-0.872837,1
0.137,0.871964,-0.871964,1
0.138,0.871964,-0.871964,1
0.138,0.871093,-0.871093,1
0.139,0.871093,-0.871093,1
0.139,0.870222,-0.870222,1
0.14,0.870222,-0.870222,1
0.14,0.869352,-0.869352,1
0.141,0.869352,-0.869352,1
0.141,0.868483,-0.868483,1
0.142,0.868483,-0.868483,1
0.142,0.867615,-0.867615,1
0.143,0.867615,-0.867615,1
0.143,0.866748,-0.866748,1
0.144,0.866748,-0.866748,1
0.144,0.865882,-0.865882,1
0.145,0.865882,-0.865882,1
0.145,0.865016,-0.865016,1
0.146,0.865016,-0.865016,1
0.146,0.864151,-0.864151,1
0.147,0.864151,-0.864151,1
0.147,0.863288,-0.863288,1
0.148,0.863288,-0.863288,1
0.148,0.862425,-0.862425,1
0.149,0.862425,-0.862425,1
0.149,0.861563,-0.861563,1
0.15,0.861563,-0.861563,1
0.15,0.860702,-0.860702,1
0.151,0.860702,-0.860702,1
0.151,0.859841,-0.859841,1
0.152,0.859841,-0.859841,1
0.152,0.858982,-0.858982,1
0.153,0.858982,-0.858982,1
0.153,0.858123,-0.858123,1
0.154,0.858123,-0.858123,1
0.154,0.857265,-0.857265,1
0.155,0.857265,-0.857265,1
0.155,0.856409,-0.856409,1
0.156,0.856409,-0.856409,1
0.156,0.855552,-0.855552,1
0.157,0.855552,-0.855552,1
0.157,0.854697,-0.854697,1
0.158,0.854697,-0.854697,1
0.158,0.853843,-0.853843,1
0.159,0.853843,-0.853843,1
0.159,0.85299,-0.85299,1
0.16,0.85299,-0.85299,1
0.16,0.852137,-0.852137,1
0.161,0.852137,-0.852137,1
0.161,0.851285,-0.851285,1
0.162,0.851285,-0.851285,1
0.162,0.850434,-0.850434,1
0.163,0.850434,-0.850434,1
0.163,0.849584,-0.849584,1
0.164,0.849584,-0.849584,1
0.164,0.848735,-0.848735,1
0.165,0.848735,-0.848735,1
0.165,0.847887,-0.847887,1
0.166,0.847887,-0.847887,1
0.166,0.847039,-0.847039,1
0.167,0.847039,-0.847039,1
0.167,0.846193,-0.846193,1
0.168,0.846193,-0.846193,1
0.168,0.845347,-0.845347,1
0.169,0.845347,-0.845347,1
0.169,0.844502,-0.844502,1
0.17,0.844502,-0.844502,1
0.17,0.843658,-0.843658,1
0.171,0.843658,-0.843658,1
0.171,0.842814,-0.842814,1
0.172,0.842814,-0.842814,1
0.172,0.841972,-0.841972,1
0.173,0.841972,-0.841972,1
0.173,0.84113,-0.84113,1
0.174,0.84113,-0.84113,1
0.174,0.84029,-0.84029,1
0.175,0.84029,-0.84029,1
0.175,0.83945,-0.83945,1
0.176,0.83945,-0.83945,1
0.176,0.838611,-0.838611,1
0.177,0.838611,-0.838611,1
0.177,0.837772,-0.837772,1
0.178,0.837772,-0.837772,1
0.178,0.836935,-0.836935,1
0.179,0.836935,-0.836935,1
0.179,0.836098,-0.836098,1
0.18,0.836098,-0.836098,1
0.18,0.835263,-0.835263,1
0.181,0.835263,-0.835263,1
0.181,0.834428,-0.834428,1
0.182,0.834428,-0.834428,1
0.182,0.833594,-0.833594,1
0.183,0.833594,-0.833594,1
0.183,0.832761,-0.832761,1
0.184,0.832761,-0.832761,1
0.184,0.831928,-0.831928,1
0.185,0.831928,-0.831928,1
0.185,0.831097,-0.831097,1
0.186,0.831097,-0.831097,1
0.186,0.830266,-0.830266,1
0.187,0.830266,-0.830266,1
0.187,0.829436,-0.829436,1
0.188,0.829436,-0.829436,1
0.188,0.828607,-0.828607,1
0.189,0.828607,-0.828607,1
0.189,0.827779,-0.827779,1
0.19,0.827779,-0.827779,1
0.19,0.826951,-0.826951,1
0.191,0.826951,-0.826951,1
0.191,0.826125,-0.826125,1
0.192,0.826125,-0.826125,1
0.192,0.825299,-0.825299,1
0.193,0.825299,-0.825299,1
0.193,0.824474,-0.824474,1
0.194,0.824474,-0.824474,1
0.194,0.82365,-0.82365,1
0.195,0.82365,-0.82365,1
0.195,0.822827,-0.822827,1
0.196,0.822827,-0.822827,1
0.196,0.822004,-0.822004,1
0.197,0.822004,-0.822004,1
0.197,0.821183,-0.821183,1
0.198,0.821183,-0.821183,1
0.198,0.820362,-0.820362,1
0.199,0.820362,-0.820362,1
0.199,0.819542,-0.819542,1
0.2,0.819542,-0.819542,1
0.2,0.818723,-0.818723,1
0.201,0.818723,-0.818723,1
0.201,0.817904,-0.817904,1
0.202,0.817904,-0.817904,1
0.202,0.817087,-0.817087,1
0.203,0.817087,-0.817087,1
0.203,0.81627,-0.81627,1
0.204,0.81627,-0.81627,1
0.204,0.815454,-0.815454,1
0.205,0.815454,-0.815454,1
0.205,0.814639,-0.814639,1
0.206,0.814639,-0.814639,1
0.206,0.813825,-0.813825,1
0.207,0.813825,-0.813825,1
0.207,0.813011,-0.813011,1
0.208,0.813011,-0.813011,1
0.208,0.812199,-0.812199,1
0.209,0.812199,-0.812199,1
0.209,0.811387,-0.811387,1
0.21,0.811387,-0.811387,1
0.21,0.810576,-0.810576,1
0.211,0.810576,-0.810576,1
0.211,0.809766,-0.809766,1
0.212,0.809766,-0.809766,1
0.212,0.808956,-0.808956,1
0.213,0.808956,-0.808956,1
0.213,0.808148,-0.808148,1
0.214,0.808148,-0.808148,1
0.214,0.80734,-0.80734,1
0.215,0.80734,-0.80734,1
0.215,0.806533,-0.806533,1
0.216,0.806533,-0.806533,1
0.216,0.805727,-0.805727,1
0.217,0.805727,-0.805727,1
0.217,0.804921,-0.804921,1
0.218,0.804921,-0.804921,1
0.218,0.804117,-0.804117,1
0.219,0.804117,-0.804117,1
0.219,0.803313,-0.803313,1
0.22,0.803313,-0.803313,1
0.22,0.80251,-0.80251,1
0.221,0.80251,-0.80251,1
0.221,0.801708,-0.801708,1
0.222,0.801708,-0.801708,1
0.222,0.800906,-0.800906,1
0.223,0.800906,-0.800906,1
0.223,0.800106,-0.800106,1
0.224,0.800106,-0.800106,1
0.224,0.799306,-0.799306,1
0.225,0.799306,-0.799306,1
0.225,0.798507,-0.798507,1
0.226,0.798507,-0.798507,1
0.226,0.797709,-0.797709,1
0.227,0.797709,-0.797709,1
0.227,0.796912,-0.796912,1
0.228,0.796912,-0.796912,1
0.228,0.796115,-0.796115,1
0.229,0.796115,-0.796115,1
0.229,0.795319,-0.795319,1
0.23,0.795319,-0.795319,1
0.23,0.794524,-0.794524,1
0.231,0.794524,-0.794524,1
0.231,0.79373,-0.79373,1
0.232,0.79373,-0.79373,1
0.232,0.792937,-0.792937,1
0.233,0.792937,-0.792937,1
0.233,0.792144,-0.792144,1
0.234,0.792144,-0.792144,1
0.234,0.791353,-0.791353,1
0.235,0.791353,-0.791353,1
0.235,0.790562,-0.790562,1
0.236,0.790562,-0.790562,1
0.236,0.789771,-0.789771,1
0.237,0.789771,-0.789771,1
0.237,0.788982,-0.788982,1
0.238,0.788982,-0.788982,1
0.238,0.788193,-0.788193,1
0.239,0.788193,-0.788193,1
0.239,0.787405,-0.787405,1
0.24,0.787405,-0.787405,1
0.24,0.786618,-0.786618,1
0.241,0.786618,-0.786618,1
0.241,0.785832,-0.785832,1
0.242,0.785832,-0.785832,1
0.242,0.785047,-0.785047,1
0.243,0.785047,-0.785047,1
0.243,0.784262,-0.784262,1
0.244,0.784262,-0.784262,1
0.244,0.783478,-0.783478,1
0.245,0.783478,-0.783478,1
0.245,0.782695,-0.782695,1
0.246,0.782695,-0.782695,1
0.246,0.781913,-0.781913,1
0.247,0.781913,-0.781913,1
0.247,0.781131,-0.781131,1
0.248,0.781131,-0.781131,1
0.248,0.78035,-0.78035,1
0.249,0.78035,-0.78035,1
0.249,0.77957,-0.77957,1
0.25,0.77957,-0.77957,1
0.25,0.778791,-0.778791,1
0.251,0.778791,-0.778791,1
0.251,0.778013,-0.778013,1
0.252,0.778013,-0.778013,1
0.252,0.777235,-0.777235,1
0.253,0.777235,-0.777235,1
0.253,0.776458,-0.776458,1
0.254,0.776458,-0.776458,1
0.254,0.775682,-0.775682,1
0.255,0.775682,-0.775682,1
0.255,0.774907,-0.774907,1
0.256,0.774907,-0.774907,1
0.256,0.774132,-0.774132,1
0.257,0.774132,-0.774132,1
0.257,0.773358,-0.773358,1
0.258,0.773358,-0.773358,1
0.258,0.772585,-0.772585,1
0.259,0.772585,-0.772585,1
0.259,0.771813,-0.771813,1
0.26,0.771813,-0.771813,1
0.26,0.771042,-0.771042,1
0.261,0.771042,-0.771042,1
0.261,0.770271,-0.770271,1
0.262,0.770271,-0.770271,1
0.262,0.769501,-0.769501,1
0.263,0.769501,-0.769501,1
0.263,0.768732,-0.768732,1
0.264,0.768732,-0.768732,1
0.264,0.767963,-0.767963,1
0.265,0.767963,-0.767963,1
0.265,0.767196,-0.767196,1
0.266,0.767196,-0.767196,1
0.266,0.766429,-0.766429,1
0.267,0.766429,-0.766429,1
0.267,0.765663,-0.765663,1
0.268,0.765663,-0.765663,1
0.268,0.764898,-0.764898,1
0.269,0.764898,-0.764898,1
0.269,0.764133,-0.764133,1
0.27,0.764133,-0.764133,1
0.27,0.763369,-0.763369,1
0.271,0.763369,-0.763369,1
0.271,0.762606,-0.762606,1
0.272,0.762606,-0.762606,1
0.272,0.761844,-0.761844,1
0.273,0.761844,-0.761844,1
0.273,0.761082,-0.761082,1
0.274,0.761082,-0.761082,1
0.274,0.760322,-0.760322,1
0.275,0.760322,-0.760322,1
0.275,0.759562,-0.759562,1
0.276,0.759562,-0.759562,1
0.276,0.758802,-0.758802,1
0.277,0.758802,-0.758802,1
0.277,0.758044,-0.758044,1
0.278,0.758044,-0.758044,1
0.278,0.757286,-0.757286,1
0.279,0.757286,-0.757286,1
0.279,0.756529,-0.756529,1
0.28,0.756529,-0.756529,1
0.28,0.755773,-0.755773,1
0.281,0.755773,-0.755773,1
0.281,0.755018,-0.755018,1
0.282,0.755018,-0.755018,1
0.282,0.754263,-0.754263,1
0.283,0.754263,-0.754263,1
0.283,0.753509,-0.753509,1
0.284,0.753509,-0.753509,1
0.284,0.752756,-0.752756,1
0.285,0.752756,-0.752756,1
0.285,0.752004,-0.752004,1
0.286,0.752004,-0.752004,1
0.286,0.751252,-0.751252,1
0.287,0.751252,-0.751252,1
0.287,0.750501,-0.750501,1
0.288,0.750501,-0.750501,1
0.288,0.749751,-0.749751,1
0.289,0.749751,-0.749751,1
0.289,0.749001,-0.749001,1
0.29,0.749001,-0.749001,1
0.29,0.748253,-0.748253,1
0.291,0.748253,-0.748253,1
0.291,0.747505,-0.747505,1
0.292,0.747505,-0.747505,1
0.292,0.746758,-0.746758,1
0.293,0.746758,-0.746758,1
0.293,0.746011,-0.746011,1
0.294,0.746011,-0.746011,1
0.294,0.745266,-0.745266,1
0.295,0.745266,-0.745266,1
0.295,0.744521,-0.744521,1
0.296,0.744521,-0.744521,1
0.296,0.743776,-0.743776,1
0.297,0.743776,-0.743776,1
0.297,0.743033,-0.743033,1
0.298,0.743033,-0.743033,1
0.298,0.74229,-0.74229,1
0.299,0.74229,-0.74229,1
0.299,0.741548,-0.741548,1
0.3,0.741548,-0.741548,1
0.3,0.740807,-0.740807,1
0.301,0.740807,-0.740807,1
0.301,0.740067,-0.740067,1
0.302,0.740067,-0.740067,1
0.302,0.739327,-0.739327,1
0.303,0.739327,-0.739327,1
0.303,0.738588,-0.738588,1
0.304,0.738588,-0.738588,1
0.304,0.73785,-0.73785,1
0.305,0.73785,-0.73785,1
0.305,0.737112,-0.737112,1
0.306,0.737112,-0.737112,1
0.306,0.736375,-0.736375,1
0.307,0.736375,-0.736375,1
0.307,0.735639,-0.735639,1
0.308,0.735639,-0.735639,1
0.308,0.734904,-0.734904,1
0.309,0.734904,-0.734904,1
0.309,0.734169,-0.734169,1
0.31,0.734169,-0.734169,1
0.31,0.733436,-0.733436,1
0.311,0.733436,-0.733436,1
0.311,0.732702,-0.732702,1
0.312,0.732702,-0.732702,1
0.312,0.73197,-0.73197,1
0.313,0.73197,-0.73197,1
0.313,0.731238,-0.731238,1
0.314,0.731238,-0.731238,1
0.314,0.730508,-0.730508,1
0.315,0.730508,-0.730508,1
0.315,0.729777,-0.729777,1
0.316,0.729777,-0.729777,1
0.316,0.729048,-0.729048,1
0.317,0.729048,-0.729048,1
0.317,0.728319,-0.728319,1
0.318,0.728319,-0.728319,1
0.318,0.727591,-0.727591,1
0.319,0.727591,-0.727591,1
0.319,0.726864,-0.726864,1
0.32,0.726864,-0.726864,1
0.32,0.726137,-0.726137,1
0.321,0.726137,-0.726137,1
0.321,0.725412,-0.725412,1
0.322,0.725412,-0.725412,1
0.322,0.724687,-0.724687,1
0.323,0.724687,-0.724687,1
0.323,0.723962,-0.723962,1
0.324,0.723962,-0.723962,1
0.324,0.723239,-0.723239,1
0.325,0.723239,-0.723239,1
0.325,0.722516,-0.722516,1
0.326,0.722516,-0.722516,1
0.326,0.721793,-0.721793,1
0.327,0.721793,-0.721793,1
0.327,0.721072,-0.721072,1
0.328,0.721072,-0.721072,1
0.328,0.720351,-0.720351,1
0.329,0.720351,-0.720351,1
0.329,0.719631,-0.719631,1
0.33,0.719631,-0.719631,1
0.33,0.718912,-0.718912,1
0.331,0.718912,-0.718912,1
0.331,0.718193,-0.718193,1
0.332,0.718193,-0.718193,1
0.332,0.717475,-0.717475,1
0.333,0.717475,-0.717475,1
0.333,0.716758,-0.716758,1
0.334,0.716758,-0.716758,1
0.334,0.716042,-0.716042,1
0.335,0.716042,-0.716042,1
0.335,0.715326,-0.715326,1
0.336,0.715326,-0.715326,1
0.336,0.714611,-0.714611,1
0.337,0.714611,-0.714611,1
0.337,0.713897,-0.713897,1
0.338,0.713897,-0.713897,1
0.338,0.713183,-0.713183,1
0.339,0.713183,-0.713183,1
0.339,0.71247,-0.71247,1
0.34,0.71247,-0.71247,1
0.34,0.711758,-0.711758,1
0.341,0.711758,-0.711758,1
0.341,0.711047,-0.711047,1
0.342,0.711047,-0.711047,1
0.342,0.710336,-0.710336,1
0.343,0.710336,-0.710336,1
0.343,0.709626,-0.709626,1
0.344,0.709626,-0.709626,1
0.344,0.708917,-0.708917,1
0.345,0.708917,-0.708917,1
0.345,0.708208,-0.708208,1
0.346,0.708208,-0.708208,1
0.346,0.7075,-0.7075,1
0.347,0.7075,-0.7075,1
0.347,0.706793,-0.706793,1
0.348,0.706793,-0.706793,1
0.348,0.706087,-0.706087,1
0.349,0.706087,-0.706087,1
0.349,0.705381,-0.705381,1
0.35,0.705381,-0.705381,1
0.35,0.704676,-0.704676,1
0.351,0.704676,-0.704676,1
0.351,0.703971,-0.703971,1
0.352,0.703971,-0.703971,1
0.352,0.703268,-0.703268,1
0.353,0.703268,-0.703268,1
0.353,0.702565,-0.702565,1
0.354,0.702565,-0.702565,1
0.354,0.701863,-0.701863,1
0.355,0.701863,-0.701863,1
0.355,0.701161,-0.701161,1
0.356,0.701161,-0.701161,1
0.356,0.70046,-0.70046,1
0.357,0.70046,-0.70046,1
0.357,0.69976,-0.69976,1
0.358,0.69976,-0.69976,1
0.358,0.699061,-0.699061,1
0.359,0.699061,-0.699061,1
0.359,0.698362,-0.698362,1
0.36,0.698362,-0.698362,1
0.36,0.697664,-0.697664,1
0.361,0.697664,-0.697664,1
0.361,0.696966,-0.696966,1
0.362,0.696966,-0.696966,1
0.362,0.69627,-0.69627,1
0.363,0.69627,-0.69627,1
0.363,0.695574,-0.695574,1
0.364,0.695574,-0.695574,1
0.364,0.694879,-0.694879,1
0.365,0.694879,-0.694879,1
0.365,0.694184,-0.694184,1
0.366,0.694184,-0.694184,1
0.366,0.69349,-0.69349,1
0.367,0.69349,-0.69349,1
0.367,0.692797,-0.692797,1
0.368,0.692797,-0.692797,1
0.368,0.692104,-0.692104,1
0.369,0.692104,-0.692104,1
0.369,0.691413,-0.691413,1
0.37,0.691413,-0.691413,1
0.37,0.690722,-0.690722,1
0.371,0.690722,-0.690722,1
0.371,0.690031,-0.690031,1
0.372,0.690031,-0.690031,1
0.372,0.689341,-0.689341,1
0.373,0.689341,-0.689341,1
0.373,0.688652,-0.688652,1
0.374,0.688652,-0.688652,1
0.374,0.687964,-0.687964,1
0.375,0.687964,-0.687964,1
0.375,0.687276,-0.687276,1
0.376,0.687276,-0.687276,1
0.376,0.686589,-0.686589,1
0.377,0.686589,-0.686589,1
0.377,0.685903,-0.685903,1
0.378,0.685903,-0.685903,1
0.378,0.685218,-0.685218,1
0.379,0.685218,-0.685218,1
0.379,0.684533,-0.684533,1
0.38,0.684533,-0.684533,1
0.38,0.683848,-0.683848,1
0.381,0.683848,-0.683848,1
0.381,0.683165,-0.683165,1
0.382,0.683165,-0.683165,1
0.382,0.682482,-0.682482,1
0.383,0.682482,-0.682482,1
0.383,0.6818,-0.6818,1
0.384,0.6818,-0.6818,1
0.384,0.681118,-0.681118,1
0.385,0.681118,-0.681118,1
0.385,0.680438,-0.680438,1
0.386,0.680438,-0.680438,1
0.386,0.679757,-0.679757,1
0.387,0.679757,-0.679757,1
0.387,0.679078,-0.679078,1
0.388,0.679078,-0.679078,1
0.388,0.678399,-0.678399,1
0.389,0.678399,-0.678399,1
0.389,0.677721,-0.677721,1
0.39,0.677721,-0.677721,1
0.39,0.677044,-0.677044,1
0.391,0.677044,-0.677044,1
0.391,0.676367,-0.676367,1
0.392,0.676367,-0.676367,1
0.392,0.675691,-0.675691,1
0.393,0.675691,-0.675691,1
0.393,0.675016,-0.675016,1
0.394,0.675016,-0.675016,1
0.394,0.674341,-0.674341,1
0.395,0.674341,-0.674341,1
0.395,0.673667,-0.673667,1
0.396,0.673667,-0.673667,1
0.396,0.672993,-0.672993,1
0.397,0.672993,-0.672993,1
0.397,0.672321,-0.672321,1
0.398,0.672321,-0.672321,1
0.398,0.671649,-0.671649,1
0.399,0.671649,-0.671649,1
0.399,0.670977,-0.670977,1
0.4,0.670977,-0.670977,1
0.4,0.670307,-0.670307,1
0.401,0.670307,-0.670307,1
0.401,0.669637,-0.669637,1
0.402,0.669637,-0.669637,1
0.402,0.668967,-0.668967,1
0.403,0.668967,-0.668967,1
0.403,0.668299,-0.668299,1
0.404,0.668299,-0.668299,1
0.404,0.667631,-0.667631,1
0.405,0.667631,-0.667631,1
0.405,0.666963,-0.666963,1
0.406,0.666963,-0.666963,1
0.406,0.666297,-0.666297,1
0.407,0.666297,-0.666297,1
0.407,0.665631,-0.665631,1
0.408,0.665631,-0.665631,1
0.408,0.664965,-0.664965,1
0.409,0.664965,-0.664965,1
0.409,0.664301,-0.664301,1
0.41,0.664301,-0.664301,1
0.41,0.663637,-0.663637,1
0.411,0.663637,-0.663637,1
0.411,0.662973,-0.662973,1
